"id";"name";"description";"type_formation";"id_formation";"id_head";"picture";"level";"exp";"point";"play";"goal";"Website";"Address";"overall";"win";"lose";"draw";"match_total";"exp_monthly";"play_sparing_monthly";"play_compet_monthly";"goal_monthly";"id_champion";"created_at";"updated_at";"deleted_at"
"218";"apa aja fc";"jangankan kalah seri aja ogah";"0";"0";"541";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-18 02:46:21";"2020-02-18 02:46:21";NULL
"219";"Radiance Community";"Youth of Renewal Community Church";"0";"0";"342";"1582115919.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-18 17:35:32";"2020-02-18 17:35:32";NULL
"220";"AAj";"futsal";"0";"0";"565";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-19 10:05:29";"2020-02-19 10:05:29";NULL
"221";"civitas";"civitas";"0";"0";"567";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-19 15:50:41";"2020-02-19 15:50:41";NULL
"223";"test team";"test team";"0";"0";"2";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-20 08:45:23";"2020-02-20 08:45:23";NULL
"224";"HIMASTRON";"Tim Futsal Himastron ITB";"0";"0";"498";"1582332428.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-22 00:47:08";"2020-02-22 00:47:08";NULL
"225";"ANAK KOMPLEK FC";"latihan setiap malem Minggu jam 23.00";"2";"0";"576";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-22 05:40:39";"2020-02-22 05:40:39";NULL
"226";"sportigo fc";"bek";"0";"0";"576";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-22 05:45:21";"2020-02-22 05:45:21";NULL
"227";"HMO ""TRITON"" ITB putra";"team futsal dan sepakbola Himpunan Mahasiswa Oseanografi ITB.";"0";"0";"581";"1582476493.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-23 16:46:25";"2020-02-23 16:46:25";NULL
"228";"HMFT-ITB (Pa)";"Himpunan Mahasiswa Fisika Teknik - ITB";"0";"0";"582";"1582646398.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-25 15:55:04";"2020-02-25 15:55:04";NULL
"229";"MTM ITB FC";"tim futsal dan sepakbola himpunan mahasiswa teknik material itb";"0";"0";"598";"1582770754.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 00:35:10";"2020-02-27 00:35:10";NULL
"230";"HMTG GEA ITB";"HMTG GEA ITB";"0";"0";"599";"1582774876.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 03:41:16";"2020-02-27 03:41:16";NULL
"231";"IMMG (Putra)";"Ikatan Mahasiswa Metalurgi - ITB";"0";"0";"605";"1582797241.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 09:54:02";"2020-02-27 09:54:02";NULL
"232";"IMMG (Putri)";"Ikatan Mahasiswa Metalurgi - ITB";"0";"0";"605";"1582797663.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 10:00:14";"2020-02-27 10:00:14";NULL
"233";"Futsal Putri KMPN ITB";"Futsal Putri KMPN ITB";"0";"0";"610";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 10:36:01";"2020-02-27 10:36:01";NULL
"234";"HMO ""TRITON"" ITB putri";"team futsal dan sepakbola Himpunan Mahasiswa Oseanografi ITB.";"0";"0";"581";"1582817795.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 15:36:35";"2020-02-27 15:36:35";NULL
"235";"GANCENG FUTSAL";"skuy";"0";"0";"621";"1582863144.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 04:12:25";"2020-02-28 04:12:25";NULL
"236";"KMKL";"Teknik Kelautan ITB";"0";"0";"622";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 04:14:58";"2020-02-28 04:14:58";NULL
"237";"HMTM 'PATRA' ITB";"Futsal Perminyakan ITB #LowProfileTeam";"0";"0";"655";"1582886698.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 10:34:43";"2020-02-28 10:34:43";NULL
"238";"HMFT-ITB (Pi)";"Himpunan Mahasiswa Fisika Teknik - ITB";"0";"0";"672";"1582892895.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 12:25:58";"2020-02-28 12:25:58";NULL
"239";"forever teknik";"binus";"0";"0";"678";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 13:16:47";"2020-02-28 13:16:47";NULL
"240";"TBK fc";"binus";"0";"0";"679";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 13:16:49";"2020-02-28 13:16:49";NULL
"241";"HMT-ITB Putra";"Kampoeng Bola";"0";"0";"681";"1583125673.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 13:50:04";"2020-02-28 13:50:04";NULL
"242";"KRISIS DEPAN";"teknik industri 2019";"0";"0";"677";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-28 16:23:19";"2020-02-28 16:23:19";NULL
